qc_id,objectid,tipo,icon_url
"0","1",Galeria,./0.png
"81","82",Reservatório,./1.png
"84","85",Galeria,./0.png
"85","86",Galeria,./0.png
"86","87",Galeria,./0.png
"87","88",Galeria,./0.png
"88","89",Aqueduto,./2.png
"89","90",Reservatório,./1.png
"90","91",Galeria,./0.png
"91","92",Galeria,./0.png
"92","93",Galeria,./0.png
"93","94",Galeria,./0.png
"94","95",Galeria,./0.png
"537","538",NI,
"546","547",NI,
"597","598",NI,
"647","648",NI,
"648","649",NI,
"664","665",NI,
"643","644",Barragem,./3.png
"723","724",Ruína,
"1","2",Galeria,./0.png
"2","3",Galeria,./0.png
"3","4",Galeria,./0.png
"4","5",Galeria,./0.png
"5","6",Galeria,./0.png
"6","7",Galeria,./0.png
"7","8",Sarilho,./4.png
"8","9",Galeria,./0.png
"9","10",Galeria,./0.png
"10","11",Galeria,./0.png
"11","12",Galeria,./0.png
"12","13",Galeria,./0.png
"13","14",Galeria,./0.png
"14","15",Galeria,./0.png
"15","16",Galeria,./0.png
"16","17",Galeria,./0.png
"17","18",Galeria,./0.png
"18","19",Galeria,./0.png
"19","20",Galeria,./0.png
"20","21",Galeria,./0.png
"21","22",Galeria,./0.png
"22","23",Galeria,./0.png
"23","24",Galeria,./0.png
"24","25",Galeria,./0.png
"25","26",Galeria,./0.png
"26","27",Galeria,./0.png
"27","28",Galeria,./0.png
"28","29",Galeria,./0.png
"29","30",Reservatório,./1.png
"30","31",Galeria,./0.png
"31","32",Galeria,./0.png
"32","33",Galeria,./0.png
"33","34",Galeria,./0.png
"34","35",Galeria,./0.png
"35","36",Galeria,./0.png
"36","37",Galeria,./0.png
"37","38",Galeria,./0.png
"38","39",Galeria,./0.png
"39","40",Galeria,./0.png
"40","41",Galeria,./0.png
"41","42",Galeria,./0.png
"42","43",Galeria,./0.png
"43","44",Galeria,./0.png
"44","45",Galeria,./0.png
"45","46",Galeria,./0.png
"46","47",Galeria,./0.png
"47","48",Galeria,./0.png
"48","49",Galeria,./0.png
"49","50",Galeria,./0.png
"50","51",Sarilho,./4.png
"51","52",Sarilho,./4.png
"52","53",Galeria,./0.png
"53","54",Galeria,./0.png
"54","55",Galeria,./0.png
"55","56",Galeria,./0.png
"56","57",Galeria,./0.png
"57","58",Galeria,./0.png
"58","59",Galeria,./0.png
"59","60",Sarilho,./4.png
"60","61",Ruínas,./6.png
"61","62",Galeria,./0.png
"62","63",Galeria,./0.png
"63","64",Reservatório,./1.png
"64","65",Aqueduto,./2.png
"65","66",Galeria,./0.png
"66","67",Galeria,./0.png
"67","68",Galeria,./0.png
"68","69",Mundéu,./7.png
"69","70",Mundéu,./7.png
"70","71",Reservatório,./1.png
"71","72",Galeria,./0.png
"72","73",Galeria,./0.png
"73","74",Galeria,./0.png
"74","75",Galeria,./0.png
"75","76",Galeria,./0.png
"76","77",Galeria,./0.png
"77","78",Galeria,./0.png
"78","79",Mundéu,./7.png
"79","80",Mundéu,./7.png
"80","81",Sarilho,./4.png
"82","83",Ruínas,./6.png
"83","84",Ruínas,./6.png
"95","96",Ruínas,./6.png
"96","97",Sarilho,./4.png
"97","98",Sarilho,./4.png
"98","99",Sarilho,./4.png
"99","100",Sarilho,./4.png
"100","101",Sarilho,./4.png
"101","102",Sarilho,./4.png
"102","103",Sarilho,./4.png
"103","104",Sarilho,./4.png
"104","105",Ruínas,./6.png
"105","106",Galeria,./0.png
"106","107",Galeria,./0.png
"107","108",Galeria,./0.png
"108","109",Galeria,./0.png
"109","110",Galeria,./0.png
"110","111",Sarilho,./4.png
"111","112",Galeria,./0.png
"112","113",Galeria,./0.png
"113","114",Ruínas,./6.png
"114","115",Ruínas,./6.png
"115","116",Ruínas,./6.png
"116","117",Ruínas,./6.png
"117","118",Ruínas,./6.png
"118","119",Ruínas,./6.png
"119","120",Ruínas,./6.png
"120","121",Ruínas,./6.png
"121","122",Ruínas,./6.png
"122","123",Ruínas,./6.png
"123","124",Canal,./8.png
"124","125",Canal,./8.png
"125","126",Canal,./8.png
"126","127",Canal,./8.png
"127","128",Canal,./8.png
"128","129",Canal,./8.png
"129","130",Canal,./8.png
"130","131",Canal,./8.png
"131","132",Canal,./8.png
"132","133",Canal,./8.png
"133","134",Canal,./8.png
"134","135",Canal,./8.png
"135","136",Canal,./8.png
"136","137",Canal,./8.png
"137","138",Canal,./8.png
"138","139",Canal,./8.png
"139","140",Muro,./5.png
"140","141",Muro,./5.png
"141","142",Muro,./5.png
"142","143",Muro,./5.png
"143","144",Estrada,./9.png
"144","145",Estrada,./9.png
"145","146",Estrada,./9.png
"146","147",Estrada,./9.png
"147","148",Residencia,./10.png
"148","149",Residencia,./10.png
"149","150",Residencia,./10.png
"150","151",Residencia,./10.png
"151","152",Estrada,./9.png
"152","153",Estrada,./9.png
"153","154",Estrada,./9.png
"154","155",Galeria,./0.png
"155","156",Galeria,./0.png
"156","157",Galeria,./0.png
"157","158",Galeria,./0.png
"158","159",Galeria,./0.png
"159","160",Galeria,./0.png
"160","161",Galeria,./0.png
"161","162",Galeria,./0.png
"162","163",Galeria,./0.png
"163","164",Galeria,./0.png
"164","165",Galeria,./0.png
"165","166",Galeria,./0.png
"166","167",Galeria,./0.png
"167","168",Galeria,./0.png
"168","169",Galeria,./0.png
"169","170",Galeria,./0.png
"170","171",Estrada,./9.png
"171","172",Abrigo,./11.png
"172","173",Aqueduto,./2.png
"173","174",Aqueduto,./2.png
"174","175",Aqueduto,./2.png
"175","176",Aqueduto,./2.png
"176","177",Aqueduto,./2.png
"177","178",Aqueduto,./2.png
"178","179",Aqueduto,./2.png
"179","180",Galeria,./0.png
"180","181",Galeria,./0.png
"181","182",Galeria,./0.png
"182","183",Galeria,./0.png
"183","184",Galeria,./0.png
"184","185",Galeria,./0.png
"185","186",Galeria,./0.png
"186","187",Galeria,./0.png
"187","188",Galeria,./0.png
"188","189",Galeria,./0.png
"189","190",Galeria,./0.png
"190","191",Galeria,./0.png
"191","192",Galeria,./0.png
"192","193",Galeria,./0.png
"193","194",Galeria,./0.png
"194","195",Galeria,./0.png
"195","196",Galeria,./0.png
"196","197",Galeria,./0.png
"197","198",Galeria,./0.png
"198","199",Galeria,./0.png
"199","200",Galeria,./0.png
"200","201",Galeria,./0.png
"201","202",Galeria,./0.png
"202","203",Galeria,./0.png
"203","204",Galeria,./0.png
"204","205",Galeria,./0.png
"205","206",Galeria,./0.png
"206","207",Galeria,./0.png
"207","208",Galeria,./0.png
"208","209",Galeria,./0.png
"209","210",Galeria,./0.png
"210","211",Galeria,./0.png
"211","212",Galeria,./0.png
"212","213",Galeria,./0.png
"213","214",Galeria,./0.png
"214","215",Galeria,./0.png
"215","216",Galeria,./0.png
"216","217",Galeria,./0.png
"217","218",Galeria,./0.png
"218","219",Galeria,./0.png
"219","220",Galeria,./0.png
"220","221",Galeria,./0.png
"221","222",Sarilho,./4.png
"222","223",Galeria,./0.png
"223","224",Mundéu,./7.png
"224","225",Mundéu,./7.png
"225","226",Muro,./5.png
"226","227",Muro,./5.png
"227","228",Muro,./5.png
"228","229",Barragem,./3.png
"229","230",Muro,./5.png
"230","231",Muro,./5.png
"231","232",Muro,./5.png
"232","233",Muro,./5.png
"233","234",Sarilho,./4.png
"234","235",Sarilho,./4.png
"235","236",Sarilho,./4.png
"236","237",Galeria,./0.png
"237","238",Galeria,./0.png
"238","239",Galeria,./0.png
"239","240",Igreja,./12.png
"240","241",Canal,./8.png
"241","242",Sarilho,./4.png
"242","243",Sarilho,./4.png
"243","244",Galeria,./0.png
"244","245",Moinho,./13.png
"245","246",Galeria,./0.png
"246","247",Galeria,./0.png
"247","248",Canal,./8.png
"248","249",Canal,./8.png
"249","250",Galeria,./0.png
"250","251",Sarilho,./4.png
"251","252",Barragem,./3.png
"252","253",Mundéu,./7.png
"253","254",Galeria,./0.png
"254","255",Muro,./5.png
"255","256",Sarilho,./4.png
"256","257",Sarilho,./4.png
"257","258",Chafariz,./14.png
"258","259",Galeria,./0.png
"259","260",Galeria,./0.png
"260","261",Capela,./15.png
"261","262",Capela,./15.png
"262","263",Galeria,./0.png
"263","264",Galeria,./0.png
"264","265",Aqueduto,./2.png
"265","266",Residencia,./10.png
"266","267",Canal,./8.png
"267","268",Fazenda,./16.png
"268","269",Mundéu,./7.png
"269","270",Canal,./8.png
"270","271",Sarilho,./4.png
"271","272",Canal,./8.png
"272","273",Galeria,./0.png
"273","274",Galeria,./0.png
"274","275",Sarilho,./4.png
"275","276",Sarilho,./4.png
"276","277",Sarilho,./4.png
"277","278",Sarilho,./4.png
"278","279",Sarilho,./4.png
"279","280",Sarilho,./4.png
"280","281",Sarilho,./4.png
"281","282",Sarilho,./4.png
"282","283",Sarilho,./4.png
"283","284",Sarilho,./4.png
"284","285",Sarilho,./4.png
"285","286",Sarilho,./4.png
"286","287",Sarilho,./4.png
"287","288",Sarilho,./4.png
"288","289",Sarilho,./4.png
"289","290",Sarilho,./4.png
"290","291",Sarilho,./4.png
"291","292",Sarilho,./4.png
"292","293",Sarilho,./4.png
"293","294",Sarilho,./4.png
"294","295",Galeria,./0.png
"295","296",Sarilho,./4.png
"296","297",Sarilho,./4.png
"297","298",Platô,./17.png
"298","299",Estrada,./9.png
"299","300",Sarilho,./4.png
"300","301",Sarilho,./4.png
"301","302",Sarilho,./4.png
"302","303",Sarilho,./4.png
"303","304",Sarilho,./4.png
"304","305",Barragem,./3.png
"305","306",Barragem,./3.png
"306","307",Sarilho,./4.png
"307","308",Barragem,./3.png
"308","309",Galeria,./0.png
"309","310",Galeria,./0.png
"310","311",Pilha rejeito,./18.png
"311","312",Barragem,./3.png
"312","313",Aqueduto,./2.png
"313","314",Muro,./5.png
"314","315",Barragem,./3.png
"315","316",Barragem,./3.png
"316","317",Pilha rejeito,./18.png
"317","318",Muro,./5.png
"318","319",Aqueduto,./2.png
"319","320",Aqueduto,./2.png
"320","321",Galeria,./0.png
"321","322",Galeria,./0.png
"322","323",Galeria,./0.png
"323","324",Galeria,./0.png
"324","325",Galeria,./0.png
"325","326",Galeria,./0.png
"326","327",Galeria,./0.png
"327","328",Sarilho,./4.png
"328","329",Galeria,./0.png
"329","330",Galeria,./0.png
"330","331",Galeria,./0.png
"331","332",Galeria,./0.png
"332","333",Galeria,./0.png
"333","334",Galeria,./0.png
"334","335",Galeria,./0.png
"335","336",Galeria,./0.png
"336","337",Galeria,./0.png
"337","338",Galeria,./0.png
"338","339",Galeria,./0.png
"339","340",Galeria,./0.png
"340","341",Galeria,./0.png
"341","342",Galeria,./0.png
"342","343",Galeria,./0.png
"343","344",Galeria,./0.png
"344","345",Galeria,./0.png
"345","346",Galeria,./0.png
"346","347",Galeria,./0.png
"347","348",Galeria,./0.png
"348","349",Galeria,./0.png
"349","350",Barragem,./3.png
"350","351",Galeria,./0.png
"351","352",Galeria,./0.png
"352","353",Galeria,./0.png
"353","354",Galeria,./0.png
"354","355",Galeria,./0.png
"355","356",Galeria,./0.png
"356","357",Galeria,./0.png
"357","358",Galeria,./0.png
"358","359",Galeria,./0.png
"359","360",Galeria,./0.png
"360","361",Galeria,./0.png
"361","362",Galeria,./0.png
"362","363",Galeria,./0.png
"363","364",Galeria,./0.png
"364","365",Galeria,./0.png
"365","366",Galeria,./0.png
"366","367",Galeria,./0.png
"367","368",Galeria,./0.png
"368","369",Galeria,./0.png
"369","370",Galeria,./0.png
"370","371",Sarilho,./4.png
"371","372",Sarilho,./4.png
"372","373",Galeria,./0.png
"373","374",Galeria,./0.png
"374","375",Galeria,./0.png
"375","376",Galeria,./0.png
"376","377",Galeria,./0.png
"377","378",Galeria,./0.png
"378","379",Galeria,./0.png
"379","380",Sarilho,./4.png
"380","381",Ruínas,./6.png
"381","382",Galeria,./0.png
"382","383",Galeria,./0.png
"383","384",Barragem,./3.png
"384","385",Aqueduto,./2.png
"385","386",Galeria,./0.png
"386","387",Galeria,./0.png
"387","388",Galeria,./0.png
"388","389",Mundéu,./7.png
"389","390",Mundéu,./7.png
"390","391",Barragem,./3.png
"391","392",Galeria,./0.png
"392","393",Galeria,./0.png
"393","394",Galeria,./0.png
"394","395",Galeria,./0.png
"395","396",Galeria,./0.png
"396","397",Galeria,./0.png
"397","398",Galeria,./0.png
"398","399",Mundéu,./7.png
"399","400",Mundéu,./7.png
"400","401",Sarilho,./4.png
"401","402",Barragem,./3.png
"402","403",Ruínas,./6.png
"403","404",Ruínas,./6.png
"404","405",Galeria,./0.png
"405","406",Galeria,./0.png
"406","407",Galeria,./0.png
"407","408",Galeria,./0.png
"408","409",Aqueduto,./2.png
"409","410",Barragem,./3.png
"410","411",Galeria,./0.png
"411","412",Galeria,./0.png
"412","413",Galeria,./0.png
"413","414",Galeria,./0.png
"414","415",Galeria,./0.png
"415","416",Ruínas,./6.png
"416","417",Sarilho,./4.png
"417","418",Sarilho,./4.png
"418","419",Sarilho,./4.png
"419","420",Sarilho,./4.png
"420","421",Sarilho,./4.png
"421","422",Sarilho,./4.png
"422","423",Sarilho,./4.png
"423","424",Sarilho,./4.png
"424","425",Ruínas,./6.png
"425","426",Galeria,./0.png
"426","427",Galeria,./0.png
"427","428",Galeria,./0.png
"428","429",Galeria,./0.png
"429","430",Galeria,./0.png
"430","431",Sarilho,./4.png
"431","432",Galeria,./0.png
"432","433",Galeria,./0.png
"433","434",Ruínas,./6.png
"434","435",Ruínas,./6.png
"435","436",Ruínas,./6.png
"436","437",Ruínas,./6.png
"437","438",Ruínas,./6.png
"438","439",Ruínas,./6.png
"439","440",Ruínas,./6.png
"440","441",Ruínas,./6.png
"441","442",Ruínas,./6.png
"442","443",Ruínas,./6.png
"443","444",Galeria,./0.png
"444","445",Galeria,./0.png
"445","446",Galeria,./0.png
"446","447",Galeria,./0.png
"447","448",Galeria,./0.png
"448","449",Galeria,./0.png
"449","450",Galeria,./0.png
"450","451",Galeria,./0.png
"451","452",Galeria,./0.png
"452","453",Galeria,./0.png
"453","454",Galeria,./0.png
"454","455",Galeria,./0.png
"455","456",Galeria,./0.png
"456","457",Muro,./5.png
"457","458",Galeria,./0.png
"458","459",Galeria,./0.png
"459","460",Galeria,./0.png
"460","461",Caverna,./19.png
"461","462",Caverna,./19.png
"462","463",Galeria,./0.png
"463","464",Galeria,./0.png
"464","465",Galeria,./0.png
"465","466",Galeria,./0.png
"466","467",Galeria,./0.png
"467","468",Galeria,./0.png
"468","469",Galeria,./0.png
"469","470",Caverna,./19.png
"470","471",Galeria,./0.png
"471","472",Galeria,./0.png
"472","473",Galeria,./0.png
"473","474",Galeria,./0.png
"474","475",Galeria,./0.png
"475","476",Galeria,./0.png
"476","477",Galeria,./0.png
"477","478",Galeria,./0.png
"478","479",Galeria,./0.png
"479","480",Galeria,./0.png
"480","481",Sarilho,./4.png
"481","482",Galeria,./0.png
"482","483",Galeria,./0.png
"483","484",Canal,./8.png
"484","485",Sarilho,./4.png
"485","486",Caverna,./19.png
"486","487",Sarilho,./4.png
"487","488",Galeria,./0.png
"488","489",Caverna,./19.png
"489","490",Galeria,./0.png
"490","491",Abrigo,./11.png
"491","492",Galeria,./0.png
"492","493",Galeria,./0.png
"493","494",Galeria,./0.png
"494","495",Galeria,./0.png
"495","496",Galeria,./0.png
"496","497",Galeria,./0.png
"497","498",Galeria,./0.png
"498","499",Galeria,./0.png
"499","500",Galeria,./0.png
"500","501",Galeria,./0.png
"501","502",Galeria,./0.png
"502","503",Galeria,./0.png
"503","504",Galeria,./0.png
"504","505",Galeria,./0.png
"505","506",Galeria,./0.png
"506","507",Galeria,./0.png
"507","508",Galeria,./0.png
"508","509",Galeria,./0.png
"509","510",Galeria,./0.png
"510","511",Galeria,./0.png
"511","512",Galeria,./0.png
"512","513",Galeria,./0.png
"513","514",Galeria,./0.png
"514","515",Galeria,./0.png
"515","516",Galeria,./0.png
"516","517",Galeria,./0.png
"517","518",Galeria,./0.png
"518","519",Galeria,./0.png
"519","520",Galeria,./0.png
"520","521",Galeria,./0.png
"521","522",Galeria,./0.png
"522","523",Galeria,./0.png
"523","524",Galeria,./0.png
"524","525",Galeria,./0.png
"525","526",Galeria,./0.png
"526","527",Galeria,./0.png
"527","528",Galeria,./0.png
"528","529",Sarilho,./4.png
"529","530",Barragem,./3.png
"530","531",Caixa d´água,./20.png
"531","532",Curral,./21.png
"532","533",Residencia,./10.png
"533","534",Curral,./21.png
"534","535",Residencia,./10.png
"535","536",Igreja,./12.png
"536","537",Sarilho,./4.png
"538","539",Caixa esculpida,./22.png
"539","540",Bueiro,./23.png
"540","541",Brunidor,./24.png
"541","542",Galeria,./0.png
"542","543",Residencia,./10.png
"543","544",Residencia,./10.png
"544","545",Caixa de lavagem,./25.png
"545","546",Residencia,./10.png
"547","548",Barragem,./3.png
"548","549",Muro,./5.png
"549","550",Residencia,./10.png
"550","551",Cava,./26.png
"551","552",Parede,./27.png
"552","553",Sarilho,./4.png
"553","554",Curral,./21.png
"554","555",Caixa esculpida,./22.png
"555","556",Galeria,./0.png
"556","557",Residencia,./10.png
"557","558",Pilão,./28.png
"558","559",Caixa esculpida,./22.png
"559","560",Sarilho,./4.png
"560","561",Estação,./29.png
"561","562",Aterro,./30.png
"562","563",Mundéu,./7.png
"563","564",Caixa d´água,./20.png
"564","565",Residencia,./10.png
"565","566",Residencia,./10.png
"566","567",Galeria,./0.png
"567","568",Canoa,./31.png
"568","569",Estrada,./9.png
"569","570",Lagoa,./32.png
"570","571",Valo de divisa,./33.png
"571","572",Galeria,./0.png
"572","573",Barragem,./3.png
"573","574",Residencia,./10.png
"574","575",Sarilho,./4.png
"575","576",Barragem,./3.png
"576","577",Residencia,./10.png
"577","578",Paiol,./34.png
"578","579",Residencia,./10.png
"579","580",Casa Paroquial,./35.png
"580","581",Residencia,./10.png
"581","582",Residencia,./10.png
"582","583",Mundéu,./7.png
"583","584",Residencia,./10.png
"584","585",Residencia,./10.png
"585","586",Barragem,./3.png
"586","587",Barragem,./3.png
"587","588",Residencia,./10.png
"588","589",Residencia,./10.png
"589","590",Barragem,./3.png
"590","591",Fundição,./36.png
"591","592",Residencia,./10.png
"592","593",Galeria,./0.png
"593","594",Residencia,./10.png
"594","595",Brunidor,./24.png
"595","596",Galeria,./0.png
"596","597",Galeria,./0.png
"598","599",Galeria,./0.png
"599","600",Muro,./5.png
"600","601",Muro,./5.png
"601","602",Residencia,./10.png
"602","603",Brunidor,./24.png
"603","604",Barragem,./3.png
"604","605",Mundéu,./7.png
"605","606",Mundéu,./7.png
"606","607",Pilão,./28.png
"607","608",Residencia,./10.png
"608","609",Canoa,./31.png
"609","610",Caixa d´água,./20.png
"610","611",Residencia,./10.png
"611","612",Mundéu,./7.png
"612","613",Entulho,./37.png
"613","614",Mundéu,./7.png
"614","615",Residencia,./10.png
"615","616",Residencia,./10.png
"616","617",Caixa esculpida,./22.png
"617","618",Canoa,./31.png
"618","619",Galeria,./0.png
"619","620",Cemitério,./38.png
"620","621",Hospital,./39.png
"621","622",Galeria,./0.png
"622","623",Ponte,./40.png
"623","624",Residencia,./10.png
"624","625",Mundéu,./7.png
"625","626",Canal,./8.png
"626","627",Muro,./5.png
"627","628",Residencia,./10.png
"628","629",Residencia,./10.png
"629","630",Barragem,./3.png
"630","631",Residencia,./10.png
"631","632",Mundéu,./7.png
"632","633",Galeria,./0.png
"633","634",Mundéu,./7.png
"634","635",Engenho,./41.png
"635","636",Residencia,./10.png
"636","637",Barragem,./3.png
"637","638",Saramenha,./42.png
"638","639",Engenho,./41.png
"639","640",Residencia,./10.png
"640","641",Monjolo,./43.png
"641","642",Galeria,./0.png
"642","643",Cavidade,./44.png
"644","645",Cerâmica,./45.png
"645","646",Sarilho,./4.png
"646","647",Quilombo,./46.png
"649","650",Residencia,./10.png
"650","651",Residencia,./10.png
"651","652",Caixa esculpida,./22.png
"652","653",Caixa d´água,./20.png
"653","654",Entulho,./37.png
"654","655",Residencia,./10.png
"655","656",Rua,./47.png
"656","657",Galeria,./0.png
"657","658",Canal,./8.png
"658","659",Residencia,./10.png
"659","660",Caixa esculpida,./22.png
"660","661",Barragem,./3.png
"661","662",Muro,./5.png
"662","663",Sarilho,./4.png
"663","664",Brunidor,./24.png
"665","666",Galeria,./0.png
"666","667",Cruzeiro,./48.png
"667","668",Residencia,./10.png
"668","669",Fio de pedra,./49.png
"669","670",Residencia,./10.png
"670","671",Curral,./21.png
"671","672",Residencia,./10.png
"672","673",Represa,./50.png
"673","674",Pilão,./28.png
"674","675",Talho a céu aberto,./51.png
"675","676",Residencia,./10.png
"676","677",Residencia,./10.png
"677","678",Rua,./47.png
"678","679",Barragem,./3.png
"679","680",Residencia,./10.png
"680","681",Lavra a céu aberto,./52.png
"681","682",Residencia,./10.png
"682","683",Mundéu,./7.png
"683","684",Estrada,./9.png
"684","685",Residencia,./10.png
"685","686",Lavra a céu aberto,./52.png
"686","687",Residencia,./10.png
"687","688",Canal,./8.png
"688","689",Mundéu,./7.png
"689","690",Cavidade,./44.png
"690","691",Lavra a céu aberto,./52.png
"691","692",Horta,./39.png
"692","693",Lavra a céu aberto,./52.png
"693","694",Paiol,./34.png
"694","695",Lavra a céu aberto,./52.png
"695","696",Muro,./5.png
"696","697",Residencia,./10.png
"697","698",Residencia,./10.png
"698","699",Residencia,./10.png
"699","700",Lavra a céu aberto,./52.png
"700","701",Muro,./5.png
"701","702",Barragem,./3.png
"702","703",Barragem,./3.png
"703","704",Residencia,./10.png
"704","705",Lavra a céu aberto,./52.png
"705","706",Estrada,./9.png
"706","707",Lavra a céu aberto,./52.png
"707","708",Ruínas,./6.png
"708","709",Ruínas,./6.png
"709","710",Residencia,./10.png
"710","711",Residencia,./10.png
"711","712",Igreja,./12.png
"712","713",Barragem,./3.png
"713","714",Barragem,./3.png
"714","715",Mirante,./53.png
"715","716",Canal,./8.png
"716","717",Residencia,./10.png
"717","718",Canal,./8.png
"718","719",Cata,./54.png
"719","720",Residencia,./10.png
"720","721",Barragem,./3.png
"721","722",Muro,./5.png
"722","723",Ruínas,./6.png
